Year,American,Continental,Delta,Northwest,United,US Airways,America West,Southwest,jetBlue,AirTran,Frontier,Virgin America,Alaska,Hawaiian,Spirit,Allegiant,Total All Sectors
1995,8.59,8.02,8.74,8.85,8.22,10.68,7.43,7.49,,,7.48,,6.90,6.36,7.26,,8.56
1996,8.92,8.88,8.96,9.15,8.75,11.86,7.52,7.99,,,8.04,,7.42,6.40,6.26,,8.98
1997,9.28,9.18,9.20,8.98,8.91,12.16,7.44,8.14,,7.18,7.21,,8.14,6.11,5.87,,9.18
1998,9.46,9.04,9.27,8.22,8.74,12.34,7.62,8.32,,7.48,8.38,,8.16,6.35,7.46,,9.10
1999,9.01,8.78,9.12,8.62,8.74,11.56,7.81,8.51,,8.37,8.66,,8.53,6.33,6.98,,8.97
2000,10.17,9.62,9.60,9.20,9.46,11.34,8.02,9.00,7.41,10.22,10.72,,9.11,6.39,7.08,,9.63
2001,9.19,8.81,8.40,8.34,8.17,9.85,7.28,8.07,7.29,9.83,9.16,,8.73,6.16,7.14,,8.57
2002,8.37,8.53,8.15,8.28,7.74,9.26,7.11,7.58,7.47,8.49,8.58,,8.39,8.30,6.79,,8.16
2003,8.62,8.62,8.53,8.55,7.78,9.55,7.56,7.80,7.05,8.78,8.43,,8.57,8.69,7.54,,8.36
2004,8.61,8.75,8.33,9.21,8.22,9.35,7.27,7.94,6.44,8.35,8.17,,8.80,9.69,7.46,3.94,8.46
2005,9.41,9.27,8.48,9.62,8.88,9.44,8.23,8.31,6.83,9.04,8.77,,9.50,9.67,8.29,5.69,8.96
2006,10.25,9.94,9.30,10.56,9.71,10.11,,9.21,7.78,9.52,9.07,,10.20,9.90,9.30,6.46,9.77
2007,10.65,10.45,9.99,10.77,10.46,10.46,,9.19,8.19,9.66,8.84,1.30,10.24,9.64,8.07,6.94,10.14
2008,11.14,11.05,10.67,11.11,10.84,10.75,,9.88,9.41,10.06,9.91,7.59,10.52,11.62,8.04,7.73,10.66
2009,9.90,9.39,9.14,9.09,9.18,9.27,,9.74,8.99,8.92,8.75,7.35,9.98,10.72,7.35,7.10,9.36
2010,10.93,10.62,10.57,,11.03,10.44,,11.28,9.81,9.75,9.84,8.60,10.64,11.38,7.03,7.59,10.65
2011,11.62,11.75,11.50,,11.90,11.52,,12.11,10.95,10.54,12.32,9.67,11.36,12.31,7.82,8.64,11.56
2012,12.27,,12.16,,11.87,11.91,,12.05,11.35,,9.81,9.76,11.67,12.03,7.36,8.65,11.86
2013,12.67,,12.63,,12.14,12.21,,12.81,11.60,,10.48,10.49,11.50,11.53,7.55,8.85,12.24
2014,12.89,,13.17,,12.43,12.46,,13.45,11.87,,10.09,10.71,11.67,11.94,7.45,9.10,12.59
2015,12.12,,12.80,,11.89,,,13.01,11.94,,7.71,10.56,11.00,11.36,5.93,7.95,12.02
2016,11.53,,12.15,,11.23,,,12.51,11.20,,5.91,9.96,10.39,11.61,5.12,7.09,11.35
2017,11.98,,12.36,,11.25,,,12.43,11.22,,5.23,9.60,10.56,12.38,5.07,7.04,11.45
2018,12.33,,12.95,,11.75,,,12.34,11.35,,4.92,,10.20,12.07,5.21,7.16,11.70
2019,12.64,,13.08,,11.95,,,12.66,11.25,,4.86,,10.55,11.82,5.08,7.57,11.84
